beside	ondoan
responsible	arduratsu
carefree	arduragabe
careless	arduragabe
careless	oharkabe
casual	arduragabe
casual	ustekabeko
irresponsible	arduragabe
lax	arduragabe
fulltime	arduraldioso
concerned	arduratsu
diligent	arduratsu
anxious	arduratu
anxious	grinatsu
troubled	arduratu
thin	argal
thin	mehe
lean	argal
bony	argal
scrawny	argal
skinny	argal
slim	argal
slim	lirain
argentinian	argentinar
clear	argi
light	argi
light	arin
inventive	argi
inventive	azkar
articulate	argi
bright	argi
bright	distiratsu
candid	argi
distinct	argi
distinct	desberdin
frank	argi
frank	franko
ingenious	argi
lucid	argi
luminous	argi
luminous	argidun
outspoken	argi
quickwitted	argi
resourceful	argi
talented	argi
witty	argi
explanatory	argigarri
explanatory	argitzeko
publishing	argitaratze
slight	arin
lightweight	arin
flimsy	arin
fluent	arin
fluid	arin
speedy	arin
subtle	arin
subtle	mehe
arithmetic	aritmetiko
arithmetical	aritmetiko
archaic	arkaiko
archaeologic	arkeologiko
ragged	arlote
respiratory	arnasketako
successful	arrakastatsu
bombastic	arranditsu
ostentatious	arranditsu
bizarre	arraro
bizarre	bitxi
odd	arraro
peculiar	arraro
strange	arraro
weird	arraro
rare	arraro
rare	bakan
rare	bitxi
uncanny	arraro
gaunt	arraustu
racist	arrazista
rational	arrazoizko
reasonable	arrazoizko
muddy	arre
muddy	lohitsu
murky	arre
conscientious	arretatsu
guarded	arretatsu
dangerous	arriskutsu
hazardous	arriskutsu
risky	arriskutsu
pink	arrosa
unfamiliar	arrotz
foreign	arrotz
foreign	atzerritar
common	arrunt
common	komun
colloquial	arrunt
commonplace	arrunt
mundane	arrunt
normal	arrunt
normal	normal
normal	ohiko
ordinary	arrunt
ordinary	normal
standard	arrunt
standard	estandar
astute	artetsu
artificial	artifizial
arctic	artiko
artistic	artistiko
pastoral	artzain
restless	asaldatu
restless	geldiezin
fedup	ase
insatiable	aseezin
satisfying	asegarri
free	aske
free	doako
free	libre
ancient	aspaldiko
ancient	zahar
dull	aspergarri
humdrum	aspergarri
boring	aspergarri
weary	aspergarri
weekly	asteko
astronomical	astronomiko
heavy	astun
heavy	pisu
onerous	astun
ponderous	astun
weighty	astun
grave	astun
grave	larri
unwieldy	astunetaerabiltzekozail
atlantic	atlantiko
athletic	atletiko
atomic	atomiko
pleasant	atsegin
pleasant	begiko
pleasant	pozgarri
agreeable	atsegin
amiable	atsegin
balmy	atsegin
congenial	atsegin
